Id	Label
540	Amsterdams Comité 4 en 5 mei
541	Amsterdams Fonds voor de Kunst
542	Amsterdams Juridisch Pleitgenootschap UPGA
543	Amsterdams Stadsblad
544	Amsterdamsch Studenten Corps
545	Amsterdamsch Studentencorps
546	Amsterdamsche Kring
547	Amsterdamsche Studenten Roeivereeniging Nereus
548	Amsterdamse Bach solisten
549	Amsterdamse Dansacademie Lucia Marthas
550	Amsterdamse en Buitenveldertse Montessori Scholen
551	Amsterdamse Hogeschool voor de Kunsten
552	Amsterdamse Kabouterhuizen
553	Amsterdamse Kamer van Verenigingen
554	Amsterdamse Kring
555	Amsterdamse Kunstraad
556	Amsterdamse Noord Zuidlijn
557	Amsterdamse Politie
558	50PLUS/Baay-Timmerman
559	Amsterdamse school voor de sociale wetenschappen, Universiteit van Amsterdam
560	Amsterdamse Studenten Ekklesia
561	Amsterdamse Theaterschool
562	Amsterdamse universiteitsblad Propria Cures
563	Amsterdamse Universiteitsvereniging
564	Amsterdamse zender MOSA
565	ANBO Nieuwegein
566	groep-Nijpels (ex-AOV)
567	Andreasziekenhuis te Amsterdam
568	Andries Bello leerstoel, Universiteit Leiden
569	Anette Speelt te Amsterdam
570	Anholt Genootschap
571	Anjerfonds
572	Anjerfonds Amsterdam
573	Anjerfonds te Drenthe
574	ANKO Koninklijke Algemene Kappersorganisatie
575	Anko Koninklijke Algemene Nederlandse Kappersorganisatie
576	Anna van Rijn College te Nieuwegein
577	Anne Frank Stichting
578	Anne Vondelingprijs
579	Anne Vondelingprijs 1998
580	Anne Vondelingprijs 2009
581	Anne Vondelingprijs prijs voor hoogwaardig journalistiek werk
582	Anne Vondelingprijs voor politieke journalistiek
583	Anno , promotiebureau voor de Nederlandse geschiedenis
584	Anouk
585	ANP
586	Antes groep
587	Anti Discriminatieburo Roermond
588	Antillen Aruba
589	Antonius van Padua te Noordwijkerhout
590	Antonius Ziekenhuis te Nieuwegein
591	Antroz organisatie in antroposofische ouderenzorg
592	ANV Algemeen Nederlands Verbond
593	ANVR Algemeen Nederlands Verbond van Reisondernemingen
594	ANVV landelijke vereniging van VVV s
595	AOC Friesland
596	AOC raad branche organisatie instellingen die groen onderwijs verzorgen
597	Aon Global Risk Services
598	APCO Worldwide s International Advisory Council
599	Apeiron te Kerkrade
600	Apeldoorn British Dutch Dialgue Conference
601	Apeldoorn Conference for British Dutch Dialogue
602	Apeldoorn Conference Series
603	APG Algemene Pensioen Groep
604	APM FPH Parijs
605	Apollohuis te Eindhoven
606	Apotheekzorg B V
607	Appingedam
608	Appleton Group Non Treatment Decisions
609	Aptroot Pensioen B V
610	Aqua Novio 94 te Nijmegen
611	Aquanet
612	Aquanet B V
613	Arbeidsmarktstrategie, Stichting Academische Opleidingen Groningen AOG Academie voor Management
614	Arbeidsvoorzieningswet
615	Arbeitsgemeinschaft Europäischer Grenzregionen
616	Arbitragecommissie, Koninklijke Nederlandse Vereniging voor de Koffiehandel
617	ARBO dienst van de GG&GD Amsterdam
618	Arbo Platform Nederland
619	ARBO Platform Nederland
620	Arbo Unie
621	Arbo Unie Rijnmond
622	Arbo Unie te Nieuwegein
623	Arboduo
624	Arcadis N V te Arnhem
625	Archeologische Werkgroep Roermond
626	Architectuur Biënnale Rotterdam
627	Architectuur Lokaal
