"b1-nummer","achternaam","voorletters","voorna(a)m(en)","roepnaam","prepositie","geslacht","partij(en)/fractie(s)","functie","bijzondere functie(s)","post(en) in kabinet(ten)","naam kabinet(ten)","begin periode","einde periode","url"
"02325","Kortenhorst","R.W.F.","Roland Werner François","Roland","","m","CDA","2e kamerlid","","","","2003-01-30","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopt7aga"
"02325","Kortenhorst","R.W.F.","Roland Werner François","Roland","","m","CDA","2e kamerlid","","","","2006-11-30","2008-09-02","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopt7aga"
"02326","Gerkens","A.M.V.","Ardina Meinoutje Vera","Arda","","v","SP","1e kamerlid","","","","2015-06-09","","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopt6idw"
"02326","Gerkens","A.M.V.","Ardina Meinoutje Vera","Arda","","v","SP","1e kamerlid","fractiesecretaris","","","2013-05-14","2015-06-08","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopt6idw"
"02326","Gerkens","A.M.V.","Ardina Meinoutje Vera","Arda","","v","SP","2e kamerlid","","","","2002-05-23","2003-01-29","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopt6idw"
"02326","Gerkens","A.M.V.","Ardina Meinoutje Vera","Arda","","v","SP","2e kamerlid","","","","2003-01-30","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopt6idw"
"02326","Gerkens","A.M.V.","Ardina Meinoutje Vera","Arda","","v","SP","2e kamerlid","","","","2006-11-30","2010-06-16","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopt6idw"
"02327","As","G.P.","Gerard Pieter","Gerard","van","m","LPF","2e kamerlid","","","","2002-05-23","2003-01-29","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopt5nzz"
"02327","As","G.P.","Gerard Pieter","Gerard","van","m","LPF","2e kamerlid","fractievoorzitter","","","2003-01-30","2006-08-16","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopt5nzz"
"02327","As","G.P.","Gerard Pieter","Gerard","van","m","fractie-Nawijn (ex-LPF)","2e kamerlid","fractievoorzitter","","","2006-08-17","2006-09-12","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopt5nzz"
"02328","Lazrak","A.","Ali","Ali","","m","SP","2e kamerlid","","","","2002-05-23","2003-01-29","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgoptagss"
"02328","Lazrak","A.","Ali","Ali","","m","SP","2e kamerlid","","","","2003-01-30","2004-02-02","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgoptagss"
"02328","Lazrak","A.","Ali","Ali","","m","fractie-Lazrak (ex-SP)","2e kamerlid","","","","2004-02-03","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgoptagss"
"02331","Oerle-van der Horst","N.W.","Nicolina Wilhelmina","Niny","van","v","CDA","2e kamerlid","","","","2002-05-23","2003-01-29","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopudnzd"
"02331","Oerle-van der Horst","N.W.","Nicolina Wilhelmina","Niny","van","v","CDA","2e kamerlid","","","","2003-01-30","2006-11-29","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopudnzd"
"02332","Mastwijk","J.J.","Jan Johannes","Jan","","m","CDA","2e kamerlid","","","","2002-05-23","2003-01-29","http://www.parlementairdocumentatiecentrum.nl/id/vg9fgopuczzc"
